X_id,YEAR.BUILT,YEAR.EVALUATED,AGE,CURRENT.BUILDING.EVAL.SCORE
703,1962,2023,61,82
704,1965,2023,58,74
705,1964,2023,59,88
706,1968,2023,55,94
707,1960,2023,63,88
708,1960,2023,63,93
709,1967,2023,56,72
710,1966,2023,57,88
711,1966,2023,57,86
712,1971,2023,52,83
713,1960,2023,63,86
714,1938,2023,85,83
715,1956,2023,67,89
716,1938,2023,85,81
717,1972,2023,51,77
718,1950,2023,73,83
719,1960,2023,63,87
720,1962,2023,61,87
721,1954,2023,69,90
722,1950,2023,73,100
723,1978,2023,45,98
724,1973,2023,50,81.1
725,1956,2023,67,98
726,1992,2023,31,95
727,1960,2023,63,77
728,1956,2023,67,89
729,1950,2023,73,70
730,1950,2023,73,85
731,1974,2023,49,96
732,1964,2023,59,90
733,1963,2023,60,80
734,1960,2023,63,97
735,1898,2023,125,68
736,1960,2023,63,66
737,1970,2023,53,81
738,1975,2023,48,91
739,1960,2023,63,94
740,1965,2023,58,96
741,1963,2023,60,89
742,1928,2023,95,75
743,1917,2023,106,79
744,1960,2023,63,87
745,1960,2023,63,95
746,1951,2023,72,96
747,1957,2023,66,79
748,1971,2023,52,91
749,1973,2023,50,84
750,1964,2023,59,64
751,1950,2023,73,89
752,1960,2023,63,89
753,1992,2023,31,98
754,1984,2023,39,88
755,1967,2023,56,95
756,1960,2023,63,93
757,1959,2023,64,90
758,1959,2023,64,87
759,1967,2023,56,95
760,1956,2023,67,87
761,1977,2023,46,91
762,1960,2023,63,89
763,1950,2023,73,68
764,1950,2023,73,86
765,1960,2023,63,82
766,1950,2023,73,84
767,1977,2023,46,85
768,1955,2023,68,79
769,1955,2023,68,83
770,1958,2023,65,74
771,1950,2023,73,90
772,1956,2023,67,78
773,1984,2023,39,68
774,1954,2023,69,91
775,1965,2023,58,96
776,1955,2023,68,88
777,1962,2023,61,94
778,1950,2023,73,93
779,1955,2023,68,80
780,1972,2023,51,74
781,1957,2023,66,72
782,1963,2023,60,86
783,1960,2023,63,82
784,1968,2023,55,71
785,1954,2023,69,88
786,1960,2023,63,91
787,1965,2023,58,75
788,1952,2023,71,76
789,1954,2023,69,77
790,1965,2023,58,89
791,1994,2023,29,86
792,1970,2023,53,81
793,1962,2023,61,77
794,1972,2023,51,77
795,1958,2023,65,86
796,2016,2023,7,99
797,1927,2023,96,81
798,1961,2023,62,86
799,1967,2023,56,81
800,1971,2023,52,93
801,1969,2023,54,89
802,1958,2023,65,92
803,1958,2023,65,86
804,1957,2023,66,94
805,1960,2023,63,92
806,1969,2023,54,86
807,1961,2023,62,85
808,1961,2023,62,75
809,1954,2023,69,90
810,1960,2023,63,89
811,1961,2023,62,77
812,1956,2023,67,80
813,1950,2023,73,90
814,1994,2023,29,93
815,1974,2023,49,95
816,2014,2023,9,97
817,1987,2023,36,81
818,1917,2023,106,87
819,1960,2023,63,77
820,1900,2023,123,70
821,1954,2023,69,98
822,1963,2023,60,86
823,1970,2023,53,72
824,1970,2023,53,74
825,1934,2023,89,30
826,1954,2023,69,28
827,1950,2023,73,87
828,1992,2023,31,69
829,1940,2023,83,82
830,1962,2023,61,80
831,1925,2023,98,81
832,1971,2023,52,90
833,1959,2023,64,88
834,1940,2023,83,75
835,1940,2023,83,78
836,1950,2023,73,81
837,1950,2023,73,88
838,1960,2023,63,93
839,1967,2023,56,92
840,1968,2023,55,96
841,1968,2023,55,93
842,1992,2023,31,97
843,1967,2023,56,92
844,1985,2023,38,86
845,1985,2023,38,93
846,1956,2023,67,88
847,1962,2023,61,89
848,1959,2023,64,84
849,1954,2023,69,98
850,1967,2023,56,87
851,1965,2023,58,81
852,1968,2023,55,80
853,1978,2023,45,89
854,1976,2023,47,94
855,1982,2023,41,94
856,1979,2023,44,97
857,1921,2023,102,81
858,1963,2023,60,88
859,1963,2023,60,79
860,1959,2023,64,93
861,1957,2023,66,99
862,1959,2023,64,99
863,1954,2023,69,78
864,1960,2023,63,92
865,1960,2023,63,76
866,1970,2023,53,82
867,1961,2023,62,96
868,1958,2023,65,91
869,1950,2023,73,92
870,1950,2023,73,90
871,1955,2023,68,69
872,1970,2023,53,86
873,1952,2023,71,92
874,1955,2023,68,84
875,1952,2023,71,92
876,1952,2023,71,92
877,1952,2023,71,89
878,1952,2023,71,87
879,1960,2023,63,90
880,1955,2023,68,97
881,1980,2023,43,89
882,1960,2023,63,79
883,1958,2023,65,84
884,1983,2023,40,94
885,1958,2023,65,89
886,1958,2023,65,93
887,1985,2023,38,75
888,1992,2023,31,94
889,2003,2023,20,98
890,1957,2023,66,92
891,1965,2023,58,83
892,1960,2023,63,73
893,1960,2023,63,87
894,1962,2023,61,89
895,1961,2023,62,78
896,1960,2023,63,89
897,1964,2023,59,43
898,1961,2023,62,89
899,1962,2023,61,93
900,1993,2023,30,91
901,1968,2023,55,77
902,1968,2023,55,93
903,1957,2023,66,88
904,1957,2023,66,86
905,1964,2023,59,79
906,1960,2023,63,96
907,1972,2023,51,91
908,1970,2023,53,90
909,1969,2023,54,75
910,1975,2023,48,81
911,1970,2023,53,79
912,1970,2023,53,74
913,1970,2023,53,83
914,1967,2023,56,92
915,1972,2023,51,78
916,1972,2023,51,80
917,1974,2023,49,85
918,1974,2023,49,83
919,1940,2023,83,73
920,1954,2023,69,71
921,2003,2023,20,98
922,1959,2023,64,77
923,1965,2023,58,73
924,1967,2023,56,78
925,1967,2023,56,80
926,1969,2023,54,93
927,1963,2023,60,83
928,1962,2023,61,82
929,1970,2023,53,89
930,1962,2023,61,86
931,1955,2023,68,91
932,1955,2023,68,91
933,1994,2023,29,87
934,1960,2023,63,89
935,1979,2023,44,96
936,1960,2023,63,90
937,1927,2023,96,82
938,1915,2023,108,89
939,1929,2023,94,87
940,1930,2023,93,85
941,1965,2023,58,90
942,1934,2023,89,91
943,1962,2023,61,93
944,1955,2023,68,97
945,1953,2023,70,86
946,1962,2023,61,88
947,1957,2023,66,82
948,1957,2023,66,71
949,1965,2023,58,96
950,1960,2023,63,86
952,1987,2023,36,94
953,2010,2023,13,95
954,1960,2023,63,87
955,1960,2023,63,74
956,1955,2023,68,88
957,1955,2023,68,90
958,1960,2023,63,92
959,1956,2023,67,88
960,1965,2023,58,93
961,1960,2023,63,97
962,1965,2023,58,72
963,1962,2023,61,91
964,1955,2023,68,85
965,1910,2023,113,89
966,1960,2023,63,89
967,1958,2023,65,97
968,1960,2023,63,98
969,1968,2023,55,89
970,1967,2023,56,93
971,1958,2023,65,96
972,1960,2023,63,88
973,1960,2023,63,79
974,1950,2023,73,80
975,1965,2023,58,98
976,1965,2023,58,98
977,1965,2023,58,98
978,1968,2023,55,94
979,1960,2023,63,90
980,1968,2023,55,89
981,1968,2023,55,86
982,1971,2023,52,79
983,1971,2023,52,81
984,1974,2023,49,92
985,1975,2023,48,74
986,1967,2023,56,85
987,1963,2023,60,82
988,1994,2023,29,86
989,1929,2023,94,86
990,1960,2023,63,80
991,1928,2023,95,89
992,1960,2023,63,89
993,1928,2023,95,99
994,1900,2023,123,76
995,1954,2023,69,91
996,1954,2023,69,17
997,1966,2023,57,83
998,1940,2023,83,94
999,1979,2023,44,91
1000,1996,2023,27,87
1001,1955,2023,68,90
1002,1957,2023,66,92
1003,1960,2023,63,95
1004,1959,2023,64,82
1005,1957,2023,66,78
1006,1950,2023,73,79
1007,1954,2023,69,92
1008,1958,2023,65,89
1009,1950,2023,73,82
1010,1958,2023,65,91
1011,1962,2023,61,91
1012,1982,2023,41,96
1013,1993,2023,30,92
1014,1994,2023,29,95
1015,1958,2023,65,91
1016,1964,2023,59,92
1017,1961,2023,62,100
1018,1961,2023,62,100
1019,1965,2023,58,86
1020,1950,2023,73,99
1021,1970,2023,53,90
1022,1966,2023,57,65
1023,1975,2023,48,93
1024,1975,2023,48,92
1025,1975,2023,48,94
1026,1975,2023,48,93
1027,1975,2023,48,96
1028,1975,2023,48,88
1029,1975,2023,48,88
1030,1986,2023,37,77
1031,2007,2023,16,96
1032,1930,2023,93,72
1033,1991,2023,32,84
1034,1891,2023,132,92
1035,1950,2023,73,85
1036,1994,2023,29,96
1037,1965,2023,58,56
1039,1958,2023,65,85
1040,1967,2023,56,37
1041,1954,2023,69,91
1042,2018,2023,5,97
1043,2020,2023,3,98
1044,1930,2023,93,93
1045,1960,2023,63,80
1046,1954,2023,69,89
1047,1970,2023,53,93
1048,1980,2023,43,94
1050,1980,2023,43,95
1051,1911,2023,112,87
1052,1934,2023,89,89
1053,1954,2023,69,82
1054,1971,2023,52,86
1055,1971,2023,52,81
1056,1971,2023,52,83
1057,1962,2023,61,82
1058,1962,2023,61,80
1059,1950,2023,73,96
1060,1973,2023,50,88
1061,1955,2023,68,77
1062,2021,2023,2,100
1063,1940,2023,83,90
1064,1965,2023,58,89
1065,1964,2023,59,96
1066,1960,2023,63,91
1067,1961,2023,62,95
1068,1961,2023,62,86
1069,1972,2023,51,82
1070,1972,2023,51,95
1071,1974,2023,49,86
1072,1974,2023,49,96
1073,1970,2023,53,99
1074,1966,2023,57,88
1075,1994,2023,29,96
1076,1993,2023,30,88
1077,1970,2023,53,75
1078,1968,2023,55,81
1079,1970,2023,53,97
1080,1970,2023,53,89
1081,1962,2023,61,93
